Byte_size,Stride,Time,Chain_type
1024, 1, 1.33682e-14, linear
1024, 1, 1.37206e-14, random
2048, 1, 1.62413e-14, linear
2048, 1, 1.27719e-14, random
4096, 1, 1.25767e-14, linear
4096, 1, 1.28153e-14, random
8192, 1, 1.30917e-14, linear
8192, 1, 1.27611e-14, random
16384, 1, 1.32056e-14, linear
16384, 1, 1.27665e-14, random
32768, 1, 1.26418e-14, linear
32768, 1, 1.27556e-14, random
65536, 1, 1.39212e-14, linear
65536, 1, 1.84802e-14, random
131072, 1, 1.49999e-14, linear
131072, 1, 1.33953e-14, random
262144, 1, 1.34658e-14, linear
262144, 1, 1.49783e-14, random
524288, 1, 1.4138e-14, linear
524288, 1, 1.33194e-14, random
1048576, 1, 1.2837e-14, linear
1048576, 1, 1.28478e-14, random
2097152, 1, 1.29887e-14, linear
2097152, 1, 1.30972e-14, random
4194304, 1, 1.39971e-14, linear
4194304, 1, 1.36501e-14, random
8388608, 1, 1.5271e-14, linear
8388608, 1, 1.35363e-14, random
16777216, 1, 1.46259e-14, linear
16777216, 1, 1.49566e-14, random
33554432, 1, 1.28912e-14, linear
33554432, 1, 1.30321e-14, random
67108864, 1, 1.27556e-14, linear
67108864, 1, 1.32652e-14, random
134217728, 1, 1.27827e-14, linear
134217728, 1, 1.3043e-14, random
1024, 2, 1.26201e-14, linear
1024, 2, 1.49837e-14, random
2048, 2, 1.33357e-14, linear
2048, 2, 1.32869e-14, random
4096, 2, 1.25117e-14, linear
4096, 2, 1.34875e-14, random
8192, 2, 1.25334e-14, linear
8192, 2, 1.26635e-14, random
16384, 2, 1.75261e-14, linear
16384, 2, 1.7808e-14, random
32768, 2, 1.31514e-14, linear
32768, 2, 1.35742e-14, random
65536, 2, 1.34495e-14, linear
65536, 2, 1.36881e-14, random
131072, 2, 1.36555e-14, linear
131072, 2, 1.51626e-14, random
262144, 2, 1.26418e-14, linear
262144, 2, 1.27394e-14, random
524288, 2, 1.3314e-14, linear
524288, 2, 1.3211e-14, random
1048576, 2, 1.26255e-14, linear
1048576, 2, 1.28261e-14, random
2097152, 2, 1.28153e-14, linear
2097152, 2, 1.3726e-14, random
4194304, 2, 1.46096e-14, linear
4194304, 2, 1.29833e-14, random
8388608, 2, 1.33899e-14, linear
8388608, 2, 1.32923e-14, random
16777216, 2, 1.32869e-14, linear
16777216, 2, 1.53631e-14, random
33554432, 2, 1.37477e-14, linear
33554432, 2, 1.69407e-14, random
67108864, 2, 1.35471e-14, linear
67108864, 2, 1.41488e-14, random
134217728, 2, 1.72497e-14, linear
134217728, 2, 1.35742e-14, random
1024, 3, 1.33248e-14, linear
1024, 3, 1.24466e-14, random
2048, 3, 1.28261e-14, linear
2048, 3, 1.25659e-14, random
4096, 3, 1.27882e-14, linear
4096, 3, 1.30484e-14, random
